Date,Open,High,Low,Close,Volume,Adj Close
06/23/10,2264.41,2271.74,2236.99,2254.23,1929450000,2254.23
06/22/10,2296.83,2313.72,2259.59,2261.8,1934450000,2261.8
06/21/10,2341.11,2341.11,2277.73,2289.09,1910700000,2289.09
06/18/10,2308.94,2321.99,2301.48,2309.8,2037230000,2309.8
06/17/10,2316.59,2318.27,2288.59,2307.16,1821680000,2307.16
06/16/10,2293.56,2317.75,2290.26,2305.93,1936400000,2305.93
06/15/10,2256.48,2307.98,2256.44,2305.88,2289060000,2305.88
06/14/10,2263.66,2278.96,2242,2243.96,1951910000,2243.96
06/11/10,2199.4,2243.6,2196.91,2243.6,1877120000,2243.6
06/10/10,2188.71,2219.65,2185.98,2218.71,2187840000,2218.71
06/09/10,2184.78,2208.65,2152.67,2158.85,2325060000,2158.85
06/08/10,2176.07,2183.1,2139.46,2170.57,2696580000,2170.57
06/07/10,2226.6,2232.89,2172.25,2173.9,2256670000,2173.9
06/04/10,2257.05,2278.58,2212.3,2219.17,2342480000,2219.17
06/03/10,2285.76,2307.47,2274.88,2303.03,2249050000,2303.03
06/02/10,2234.59,2281.07,2221.07,2281.07,2190140000,2281.07
06/01/10,2244.79,2277.39,2220.89,2222.33,2167810000,2222.33
05/28/10,2275.19,2277.1,2241.52,2257.04,2165590000,2257.04
05/27/10,2244.82,2278.37,2239.72,2277.68,2408220000,2277.68
05/26/10,2226.24,2257.33,2190.44,2195.88,3077300000,2195.88
05/25/10,2157.45,2211.94,2140.53,2210.95,2946380000,2210.95
05/24/10,2220.6,2244.67,2212.37,2213.55,2150020000,2213.55
05/21/10,2169.58,2243,2165.79,2229.04,3389670000,2229.04
05/20/10,2245.56,2253.04,2203.5,2204.01,3420420000,2204.01
05/19/10,2307.78,2324.99,2270.62,2298.37,2646160000,2298.37
05/18/10,2372.84,2374.91,2309.22,2317.26,2490310000,2317.26
05/17/10,2352.77,2364.65,2304.28,2354.23,2434480000,2354.23
05/14/10,2373.88,2374.53,2323.63,2346.85,2653020000,2346.85
05/13/10,2416.36,2434.29,2387.59,2394.36,2375250000,2394.36
05/12/10,2388.64,2426.47,2384.69,2425.02,2351900000,2425.02
05/11/10,2347.7,2405.26,2345.5,2375.31,2548840000,2375.31
05/10/10,2365.97,2379.87,2349.4,2374.67,2871800000,2374.67
05/07/10,2308.71,2330.65,2228.06,2265.64,4227720000,2265.64
05/06/10,2391.21,2407.79,2185.75,2319.64,4553600000,2319.64
05/05/10,2395.21,2421.05,2382.07,2402.29,3041480000,2402.29
05/04/10,2465.55,2465.55,2411.28,2424.25,3052590000,2424.25
05/03/10,2472.32,2503,2472.32,2498.74,2398370000,2498.74
04/30/10,2509.99,2514.37,2461.09,2461.19,2841130000,2461.19
04/29/10,2487.33,2513.69,2483.5,2511.92,3069640000,2511.92
04/28/10,2483.03,2484.15,2456.63,2471.73,2755190000,2471.73
04/27/10,2512.58,2525.7,2466.53,2471.47,2864810000,2471.47
04/26/10,2529.85,2535.28,2521.51,2522.95,2491040000,2522.95
04/23/10,2514.85,2530.15,2507.6,2530.15,2517010000,2530.15
04/22/10,2483.52,2521.02,2468.26,2519.07,2800840000,2519.07
04/21/10,2506.61,2510.5,2490.19,2504.61,2715900000,2504.61
04/20/10,2492.72,2501.25,2480.7,2500.31,2157100000,2500.31
04/19/10,2477.8,2487.67,2451.72,2480.11,2223650000,2480.11
04/16/10,2505.38,2510.06,2467.68,2481.26,2960950000,2481.26
04/15/10,2503.41,2517.82,2502.51,2515.69,2840660000,2515.69
04/14/10,2481.8,2504.86,2480.43,2504.86,3143270000,2504.86
04/13/10,2454.95,2467.94,2445.26,2465.99,2665420000,2465.99
04/12/10,2455.4,2463.17,2450.15,2457.87,2161650000,2457.87
04/09/10,2441.31,2454.12,2432.93,2454.05,2215530000,2454.05
04/08/10,2423.99,2441.12,2413.74,2436.81,2428900000,2436.81
04/07/10,2433.1,2442.27,2418.73,2431.16,2984850000,2431.16
04/06/10,2420.33,2443.5,2417.77,2436.81,2220390000,2436.81
04/05/10,2409.48,2429.61,2403.88,2429.53,2130340000,2429.53
04/01/10,2411.68,2423.43,2383.77,2402.58,2340270000,2402.58
03/31/10,2402.98,2415.44,2395.34,2397.96,2368690000,2397.96
03/30/10,2406.69,2417.36,2395.8,2410.69,2147270000,2410.69
03/29/10,2403.77,2411.18,2398.4,2404.36,1967850000,2404.36
03/26/10,2406.73,2412.92,2384.69,2395.13,2367930000,2395.13
03/25/10,2415.24,2432.25,2397.36,2397.41,2704870000,2397.41
03/24/10,2406.72,2408.64,2396.92,2398.76,2436100000,2398.76
03/23/10,2397.9,2416.51,2390.04,2415.24,2465230000,2415.24
03/22/10,2360.35,2401.21,2358,2395.4,2448130000,2395.4
03/19/10,2391.2,2396.92,2364.53,2374.41,3055760000,2374.41
03/18/10,2387.54,2393.87,2383.26,2391.28,2173060000,2391.28
03/17/10,2381.65,2400.09,2381.47,2389.09,2281410000,2389.09
03/16/10,2367.32,2378.84,2360.67,2378.01,2201880000,2378.01
03/15/10,2361.92,2367.4,2345.99,2362.21,1956170000,2362.21
03/12/10,2376.07,2376.28,2358.08,2367.66,2098780000,2367.66
03/11/10,2351.11,2368.46,2347.53,2368.46,2256790000,2368.46
03/10/10,2340.95,2361.66,2340.69,2358.95,2554740000,2358.95
03/09/10,2325.78,2353.07,2325.74,2340.68,2620360000,2340.68
