Date,Adj Close,Date,Adj Close,End Date,SEK/GBP,SEK/EUR
"Oct 25, 2011",183.90,"Oct 25, 2011",9.11,"Oct 25, 2011",0.0955,0.1098
"Oct 24, 2011",183.60,"Oct 24, 2011",9.15,"Oct 24, 2011",0.0955,0.1097
"Oct 21, 2011",182.00,"Oct 21, 2011",9.26,"Oct 21, 2011",0.0957,0.1097
"Oct 20, 2011",178.20,"Oct 20, 2011",9.20,"Oct 20, 2011",0.0959,0.1096
"Oct 19, 2011",181.50,"Oct 19, 2011",9.45,"Oct 19, 2011",0.0953,0.1093
"Oct 18, 2011",178.90,"Oct 18, 2011",9.36,"Oct 18, 2011",0.0957,0.1094
"Oct 17, 2011",181.10,"Oct 17, 2011",9.40,"Oct 17, 2011",0.0958,0.1093
"Oct 14, 2011",181.20,"Oct 14, 2011",9.55,"Oct 14, 2011",0.0957,0.1095
"Oct 13, 2011",181.00,"Oct 13, 2011",9.44,"Oct 13, 2011",0.0960,0.1097
"Oct 12, 2011",184.10,"Oct 12, 2011",9.58,"Oct 12, 2011",0.0959,0.1099
"Oct 11, 2011",180.30,"Oct 11, 2011",9.39,"Oct 11, 2011",0.0951,0.1098
"Oct 10, 2011",181.80,"Oct 10, 2011",9.37,"Oct 10, 2011",0.0945,0.1098
"Oct 7, 2011",178.60,"Oct 7, 2011",9.07,"Oct 7, 2011",0.0946,0.1093
"Oct 6, 2011",177.40,"Oct 6, 2011",9.24,"Oct 6, 2011",0.0943,0.1094
"Oct 5, 2011",174.54,"Oct 5, 2011",9.11,"Oct 5, 2011",0.0937,0.1093
"Oct 4, 2011",163.80,"Oct 4, 2011",8.68,"Oct 4, 2011",0.0935,0.1090
"Oct 3, 2011",170.60,"Oct 3, 2011",8.71,"Oct 3, 2011",0.0931,0.1087
"Sep 30, 2011",173.70,"Sep 30, 2011",8.83,"Sep 30, 2011",0.0942,0.1084
"Sep 29, 2011",175.30,"Sep 29, 2011",8.84,"Sep 29, 2011",0.0947,0.1088
"Sep 28, 2011",173.80,"Sep 28, 2011",8.67,"Sep 28, 2011",0.0945,0.1088
"Sep 27, 2011",175.10,"Sep 27, 2011",8.77,"Sep 27, 2011",0.0936,0.1078
"Sep 26, 2011",171.00,"Sep 26, 2011",8.46,"Sep 26, 2011",0.0940,0.1068
"Sep 23, 2011",168.80,"Sep 23, 2011",8.22,"Sep 23, 2011",0.0947,0.1082
"Sep 22, 2011",168.00,"Sep 22, 2011",8.25,"Sep 22, 2011",0.0960,0.1099
"Sep 21, 2011",175.70,"Sep 21, 2011",8.52,"Sep 21, 2011",0.0954,0.1097
"Sep 20, 2011",175.10,"Sep 20, 2011",8.69,"Sep 20, 2011",0.0950,0.1093
"Sep 19, 2011",170.90,"Sep 19, 2011",8.32,"Sep 19, 2011",0.0957,0.1096
"Sep 16, 2011",175.80,"Sep 16, 2011",8.50,"Sep 16, 2011",0.0950,0.1088
"Sep 15, 2011",172.90,"Sep 15, 2011",8.48,"Sep 15, 2011",0.0946,0.1090
"Sep 14, 2011",169.40,"Sep 14, 2011",8.37,"Sep 14, 2011",0.0945,0.1095
"Sep 13, 2011",164.50,"Sep 13, 2011",8.19,"Sep 13, 2011",0.0965,0.1111
"Sep 12, 2011",162.30,"Sep 12, 2011",7.95,"Sep 12, 2011",0.0963,0.1119
"Sep 9, 2011",165.80,"Sep 9, 2011",8.14,"Sep 9, 2011",0.0980,0.1117
"Sep 8, 2011",171.20,"Sep 8, 2011",8.48,"Sep 8, 2011",0.0977,0.1111
"Sep 7, 2011",169.80,"Sep 7, 2011",8.44,"Sep 7, 2011",0.0964,0.1101
"Sep 6, 2011",162.60,"Sep 6, 2011",8.24,"Sep 6, 2011",0.0962,0.1099
"Sep 5, 2011",163.40,"Sep 5, 2011",8.33,"Sep 5, 2011",0.0965,0.1102
"Sep 2, 2011",167.10,"Sep 2, 2011",8.73,"Sep 2, 2011",0.0969,0.1098
"Sep 1, 2011",173.50,"Sep 1, 2011",9.00,"Sep 1, 2011",0.0967,0.1092
"Aug 31, 2011",171.50,"Aug 31, 2011",8.81,"Aug 31, 2011",0.0966,0.1092
"Aug 30, 2011",163.80,"Aug 30, 2011",9.53,"Aug 30, 2011",0.0971,0.1097
"Aug 26, 2011",161.00,"Aug 26, 2011",9.38,"Aug 26, 2011",0.0967,0.1098
"Aug 25, 2011",163.50,"Aug 25, 2011",9.45,"Aug 25, 2011",0.0960,0.1096
"Aug 24, 2011",168.90,"Aug 24, 2011",9.72,"Aug 24, 2011",0.0957,0.1095
"Aug 23, 2011",161.80,"Aug 23, 2011",9.56,"Aug 23, 2011",0.0953,0.1092
"Aug 22, 2011",162.80,"Aug 22, 2011",9.12,"Aug 22, 2011",0.0954,0.1088
"Aug 19, 2011",162.10,"Aug 19, 2011",9.01,"Aug 19, 2011",0.0950,0.1091
"Aug 18, 2011",166.90,"Aug 18, 2011",9.17,"Aug 18, 2011",0.0953,0.1090
"Aug 17, 2011",176.20,"Aug 17, 2011",9.54,"Aug 17, 2011",0.0951,0.1083
"Aug 16, 2011",177.00,"Aug 16, 2011",9.57,"Aug 16, 2011",0.0949,0.1080
"Aug 15, 2011",178.50,"Aug 15, 2011",9.52,"Aug 15, 2011",0.0943,0.1078
"Aug 12, 2011",179.50,"Aug 12, 2011",9.53,"Aug 12, 2011",0.0945,0.1076
"Aug 11, 2011",169.20,"Aug 11, 2011",9.24,"Aug 11, 2011",0.0951,0.1080
"Aug 10, 2011",164.90,"Aug 10, 2011",9.11,"Aug 10, 2011",0.0944,0.1082
"Aug 9, 2011",167.80,"Aug 9, 2011",9.42,"Aug 9, 2011",0.0942,0.1083
"Aug 8, 2011",169.80,"Aug 8, 2011",9.76,"Aug 8, 2011",0.0936,0.1081
"Aug 5, 2011",180.30,"Aug 5, 2011",9.97,"Aug 5, 2011",0.0954,0.1095
"Aug 4, 2011",194.30,"Aug 4, 2011",10.15,"Aug 4, 2011",0.0959,0.1100
"Aug 3, 2011",196.70,"Aug 3, 2011",10.26,"Aug 3, 2011",0.0967,0.1108
"Aug 2, 2011",200.50,"Aug 2, 2011",10.35,"Aug 2, 2011",0.0971,0.1109
"Aug 1, 2011",200.00,"Aug 1, 2011",10.43,"Aug 1, 2011",0.0969,0.1107
"Jul 29, 2011",201.00,"Jul 29, 2011",10.84,"Jul 29, 2011",0.0965,0.1100
"Jul 28, 2011",197.90,"Jul 28, 2011",10.73,"Jul 28, 2011",0.0972,0.1102
"Jul 27, 2011",190.70,"Jul 27, 2011",10.67,"Jul 27, 2011",0.0973,0.1101
"Jul 26, 2011",195.50,"Jul 26, 2011",10.79,"Jul 26, 2011",0.0969,0.1099
"Jul 25, 2011",196.80,"Jul 25, 2011",10.62,"Jul 25, 2011",0.0969,0.1100
"Jul 22, 2011",198.00,"Jul 22, 2011",10.71,"Jul 22, 2011",0.0967,0.1097
"Jul 21, 2011",197.00,"Jul 21, 2011",10.57,"Jul 21, 2011",0.0957,0.1089
"Jul 20, 2011",194.30,"Jul 20, 2011",10.51,"Jul 20, 2011",0.0952,0.1084
"Jul 19, 2011",193.00,"Jul 19, 2011",10.35,"Jul 19, 2011",0.0948,0.1083
"Jul 18, 2011",187.60,"Jul 18, 2011",10.09,"Jul 18, 2011",0.0955,0.1089
"Jul 15, 2011",193.00,"Jul 15, 2011",10.26,"Jul 15, 2011",0.0957,0.1088
"Jul 14, 2011",193.80,"Jul 14, 2011",10.25,"Jul 14, 2011",0.0956,0.1088
"Jul 13, 2011",196.70,"Jul 13, 2011",10.31,"Jul 13, 2011",0.0955,0.1086
"Jul 12, 2011",196.20,"Jul 12, 2011",10.16,"Jul 12, 2011",0.0967,0.1094
